연번,도로명주소,상세위치
후암동-1,후암로5길 5,타워빌 옆 공터
후암동-2,후암로4길 25,지월장 옆 전신주
후암동-3,후암로40길 20,파크빌 2차 맞은편 전신주
후암동-4,후암로 35,백합의원 앞
후암동-5,후암로28길 57,에지앙 담장 전신주 옆
후암동-6,후암로13가길22,백합빌라 앞 도로변 및 쓰레기 수거지역
후암동-7,후암로13가길 2,삼광초등학교 후문 옆 전신주
후암동-8,후암로15길 19-40,벽면 소화기 아래
후암동-9,후암로 65,브라운스톤 아파트 앞 인도변
후암동-10,후암로 41,푸른약국 앞
후암동-11,한강대로98다길 17,골목길 공터
후암동-12,한강대로102길 47,서부제일아파트 벽면
후암동-13,한강대로104라길 30-17,신양빌라 앞 벽면
후암동-14,한강대로104길 67,후암시장(구 풍년순댓국 앞) 골목4거리
후암동-15,한강대로102다길 39,소화전 옆
후암동-16,한강대로102다길 31-7,한아름빌리지 주차장 입구 맞은편
후암동-17,소월로2다길 21,동광빌딩 앞
후암동-18,소월로2나길 19,좁은골목길 전신주 옆
후암동-19,소월로2가길 23,의류수거함 벽면
후암동-20,두텁바위로 43,이면도로 보안등 앞
후암동-21,두텁바위로 45-1,카페 앞 전신주
후암동-22,두텁바위로 91,영주교회 교육관 앞
후암동-23,두텁바위로69길 26,사거리 계단 벽면
후암동-24,두텁바위로58길 7-6,장우오피스텔 입구 옆
후암동-25,두텁바위로38길 34,남일상회 앞 골목길구석
후암동-26,두텁바위로37길 13,골목길 삼거리 전신주
후암동-27,두텁바위로35길 5-8,화단 일대
후암동-28,두텁바위로35길 5-1,전신주 일대
후암동-29,후암로34길 50,노블리스빌 앞 인도
후암동-30,두텁바위로1길107,행남팰리스 앞 상업지역 및 골목길 4거리
후암동-31,두텁바위로1길 93,전신주 이동식스마트경고판 앞
후암동-32,두텁바위로1길 114,명랑이용원 앞 보안등
후암동-33,두텁바위로 145,GS25 앞쪽 도로변
후암동-34,두텁바위로 127,반앤반커피 앞
후암동-35,두텁바위로 123,의류수거함 일대
후암동-36,후암동 352-10,새말교 도로변
후암동-37,두텁바위로 113,새말교 도로변
후암동-38,두텁바위로 104,대호빌라 앞 도닥다리 도로변
용산2가동-1,신흥로22길 15 해오름빌 후문,"담장앞, 전신주옆,  주거밀집 지역"
용산2가동-2,녹사평대로 60길 17 맞은편 녹지대,주거밀집 지역
